id,Education_Level,Age_Group,Gender,Race,Offense_Type,Criminal_History_Category,Sentence_Length_months,Probation,Below_Guideline,Trial
15614,Some College,≤34,F,Black,Drug Trafficking,VI,43,0,0,0
15615,Some College,≤34,M,White,Firearms,I,54,1,1,0
15616,High School,≤34,M,Black,Firearms,V,84,0,1,0
15617,Some College,35-44,M,Other,Immigration,I,28,1,0,0
15618,Undergraduate Degree,55+,M,Black,Drug Trafficking,I,27,0,0,0
15619,High School,≤34,M,White,Firearms,I,63,0,0,0
15620,High School,≤34,M,Other,Drug Trafficking,I,70,0,1,0
15621,Some College,45-54,M,White,Firearms,I,41,0,0,0
15622,High School,55+,M,Other,Drug Trafficking,I,35,0,1,0
15623,Less than HS,35-44,M,White,Drug Trafficking,II,43,0,1,0
15624,Some College,45-54,M,White,Fraud,V,46,0,1,0
15625,Less than HS,35-44,M,Black,Robbery,VI,46,0,1,0
15626,High School,35-44,M,White,Fraud,V,53,0,0,0
15627,High School,55+,M,White,Drug Trafficking,I,57,0,0,0
15628,High School,35-44,M,Other,Drug Trafficking,I,56,0,1,0
15629,Undergraduate Degree,55+,M,Other,Money Laundering,I,63,0,0,0
15630,Some College,≤34,M,Black,Child Pornography,V,46,0,0,0
15631,High School,55+,M,White,Firearms,II,91,0,1,0
15632,High School,≤34,M,White,Fraud,VI,79,0,0,0
15633,Less than HS,≤34,M,Black,Drug Trafficking,III,72,1,0,0
15634,High School,55+,M,Other,Firearms,VI,78,1,1,0
15635,Less than HS,35-44,F,Hispanic,Robbery,VI,65,0,1,0
15636,High School,55+,M,White,Immigration,VI,39,0,0,0
15637,Less than HS,≤34,M,Hispanic,Firearms,I,29,0,1,0
15638,Undergraduate Degree,35-44,M,Black,Child Pornography,I,26,0,0,0
15639,Less than HS,35-44,M,Black,Fraud,II,13,0,0,0
15640,Less than HS,35-44,M,Black,Firearms,IV,51,0,1,0
15641,High School,35-44,M,White,Immigration,I,74,1,1,0
15642,High School,35-44,M,White,Drug Trafficking,I,72,0,1,0
15643,Some College,55+,M,Black,Drug Trafficking,I,61,0,0,0
15644,Less than HS,45-54,M,Hispanic,Immigration,IV,24,0,0,0
15645,High School,45-54,M,White,Drug Trafficking,I,66,0,1,0
15646,High School,≤34,M,Other,Firearms,I,59,0,1,0
15647,Less than HS,55+,M,White,Drug Trafficking,III,43,0,1,0
15648,High School,55+,M,Other,Firearms,IV,40,0,1,0
15649,High School,35-44,M,White,Firearms,IV,50,0,0,0
15650,Less than HS,≤34,M,Hispanic,Fraud,I,33,0,0,0
15651,High School,55+,F,Hispanic,Firearms,II,65,0,0,0
15652,High School,45-54,M,Other,Drug Trafficking,IV,65,0,1,0
15653,Some College,≤34,F,Other,Firearms,I,52,0,0,0
15654,High School,55+,M,Hispanic,Firearms,VI,62,0,0,0
15655,High School,35-44,M,White,Firearms,III,70,0,0,0
15656,High School,45-54,M,Black,Firearms,III,36,0,0,0
15657,High School,≤34,M,Black,Drug Trafficking,IV,76,0,1,0
15658,Less than HS,≤34,M,White,Robbery,II,56,1,1,0
15659,Less than HS,45-54,M,Black,Robbery,IV,63,0,0,0
15660,Less than HS,≤34,F,Black,Robbery,I,58,0,1,1
15661,Less than HS,35-44,M,Hispanic,Firearms,III,39,0,0,0
15662,Less than HS,45-54,F,Black,Robbery,I,67,0,1,0
15663,Less than HS,45-54,M,Hispanic,Firearms,IV,70,0,0,0
15664,Undergraduate Degree,45-54,M,Hispanic,Drug Trafficking,I,23,0,0,0
15665,Some College,≤34,M,Hispanic,Firearms,I,63,0,0,0
15666,Undergraduate Degree,55+,M,Other,Child Pornography,I,17,0,1,0
15667,High School,55+,M,Other,Drug Trafficking,I,77,0,0,0
15668,Undergraduate Degree,55+,M,Black,Child Pornography,I,39,0,0,0
15669,High School,35-44,M,White,Immigration,I,79,0,0,0
15670,Less than HS,45-54,M,Black,Drug Trafficking,I,44,0,1,0
15671,Some College,45-54,M,Black,Immigration,IV,76,0,1,0
15672,Undergraduate Degree,55+,M,Hispanic,Money Laundering,I,25,0,0,0
15673,Less than HS,≤34,F,Black,Robbery,IV,59,0,0,0
15674,High School,≤34,M,Hispanic,Drug Trafficking,III,57,1,1,0
15675,Less than HS,35-44,M,Black,Fraud,I,41,0,1,0
15676,Some College,35-44,M,Black,Fraud,VI,30,0,1,0
15677,High School,45-54,F,White,Immigration,I,95,1,1,0
15678,High School,35-44,M,Other,Firearms,I,64,0,1,0
15679,High School,≤34,F,Hispanic,Immigration,V,87,0,1,0
15680,Less than HS,35-44,M,White,Firearms,II,55,0,1,0
15681,High School,35-44,F,White,Firearms,I,80,0,0,0
15682,High School,≤34,M,Hispanic,Fraud,VI,54,0,0,0
15683,High School,45-54,F,White,Firearms,V,59,0,1,0
15684,High School,55+,M,Other,Fraud,I,90,0,1,0
15685,Less than HS,35-44,F,Black,Robbery,V,58,0,0,0
15686,High School,35-44,M,White,Drug Trafficking,III,86,0,0,0
15687,High School,35-44,M,Other,Firearms,I,77,1,0,0
15688,Undergraduate Degree,≤34,F,White,Drug Trafficking,I,60,0,1,0
15689,Less than HS,≤34,M,White,Fraud,I,60,0,1,0
15690,Some College,45-54,M,Other,Drug Trafficking,IV,64,0,1,0
15691,Less than HS,45-54,M,Black,Drug Trafficking,II,57,0,0,0
15692,Less than HS,45-54,M,Hispanic,Firearms,I,63,0,1,0
15693,High School,35-44,M,Hispanic,Drug Trafficking,VI,91,0,1,0
15694,Less than HS,35-44,F,Hispanic,Drug Trafficking,IV,69,0,0,0
15695,Less than HS,35-44,M,Black,Fraud,I,40,0,1,0
15696,High School,35-44,M,Black,Drug Trafficking,I,80,0,1,0
15697,Less than HS,≤34,M,White,Firearms,V,47,0,1,0
15698,High School,≤34,F,Black,Fraud,VI,71,0,1,0
15699,Less than HS,≤34,M,Black,Immigration,III,60,0,0,0
15700,Less than HS,≤34,F,Black,Robbery,II,65,0,1,0
15701,Undergraduate Degree,45-54,M,Hispanic,Money Laundering,I,35,0,1,0
15702,Less than HS,≤34,M,Black,Immigration,I,38,0,1,0
15703,High School,≤34,M,White,Firearms,I,58,0,0,0
15704,Some College,35-44,M,Black,Drug Trafficking,I,71,0,0,0
15705,Some College,35-44,F,White,Child Pornography,I,69,0,1,0
15706,High School,55+,M,Black,Immigration,I,72,0,0,0
15707,Less than HS,35-44,M,Black,Drug Trafficking,V,28,0,0,0
15708,Some College,≤34,M,Hispanic,Child Pornography,I,28,0,0,0
15709,Undergraduate Degree,≤34,F,White,Tax,I,51,0,1,0
15710,High School,45-54,M,Black,Firearms,I,89,0,1,0
15711,Undergraduate Degree,55+,M,White,Money Laundering,I,16,0,1,0
15712,Less than HS,≤34,M,Black,Firearms,VI,47,0,0,0
15713,Some College,≤34,M,Hispanic,Child Pornography,IV,70,0,0,0
15714,Less than HS,≤34,M,Other,Fraud,III,47,0,0,0
15715,Less than HS,≤34,M,Black,Fraud,III,59,0,0,0
15716,Less than HS,55+,M,Hispanic,Drug Trafficking,I,63,0,0,0
15717,Some College,45-54,M,Hispanic,Child Pornography,I,46,1,1,0
15718,High School,≤34,M,Other,Firearms,VI,83,0,1,0
15719,Less than HS,≤34,M,Black,Drug Trafficking,I,54,0,1,0
15720,High School,45-54,M,White,Firearms,IV,64,0,0,0
15721,High School,55+,M,Hispanic,Fraud,II,68,0,0,0
15722,Less than HS,45-54,F,Hispanic,Firearms,II,65,0,1,0
15723,Less than HS,45-54,M,Black,Fraud,I,54,0,0,0
15724,Some College,45-54,M,Black,Fraud,IV,50,0,1,0
15725,Less than HS,45-54,M,Hispanic,Immigration,VI,56,0,0,0
15726,High School,≤34,M,White,Firearms,VI,63,0,1,0
15727,High School,≤34,M,Black,Immigration,I,68,0,1,0
15728,High School,45-54,M,Hispanic,Drug Trafficking,I,63,0,1,0
15729,High School,≤34,F,Other,Fraud,II,86,1,0,0
15730,High School,35-44,M,Hispanic,Fraud,IV,47,0,0,0
15731,High School,≤34,M,Black,Drug Trafficking,VI,55,0,1,0
15732,Graduate Degree,35-44,M,White,Tax,V,45,0,1,0
15733,Less than HS,45-54,M,Other,Drug Trafficking,VI,29,0,0,0
15734,Less than HS,35-44,M,Hispanic,Drug Trafficking,III,48,0,0,0
15735,Less than HS,≤34,M,Hispanic,Robbery,I,32,0,1,0
15736,Less than HS,35-44,M,Hispanic,Drug Trafficking,III,41,0,1,0
15737,Some College,35-44,M,Black,Immigration,IV,48,1,1,0
15738,Some College,55+,M,Other,Firearms,I,40,0,1,0
15739,High School,45-54,F,White,Firearms,II,86,0,1,0
15740,High School,55+,M,Other,Immigration,I,69,0,1,0
15741,High School,45-54,M,White,Fraud,IV,64,1,1,0
15742,Less than HS,≤34,M,White,Drug Trafficking,I,50,0,0,0
15743,High School,≤34,F,White,Immigration,IV,86,0,1,0
15744,High School,≤34,M,Black,Immigration,IV,57,0,1,0
15745,Less than HS,35-44,M,Hispanic,Robbery,III,87,0,0,0
15746,High School,55+,M,White,Drug Trafficking,I,93,0,0,0
15747,Less than HS,45-54,M,Hispanic,Firearms,VI,48,0,1,0
15748,Less than HS,35-44,M,Hispanic,Robbery,II,63,0,0,0
15749,Less than HS,55+,M,Black,Fraud,VI,68,0,0,0
15750,Less than HS,≤34,M,Black,Fraud,VI,52,0,0,0
15751,High School,45-54,M,Other,Firearms,VI,78,0,0,0
15752,High School,≤34,M,Black,Firearms,III,55,0,0,0
15753,Less than HS,≤34,M,Hispanic,Fraud,I,31,0,0,0
15754,High School,35-44,F,Hispanic,Fraud,II,44,0,1,0
15755,Undergraduate Degree,≤34,M,Other,Fraud,I,47,0,1,0
15756,Less than HS,≤34,F,Black,Drug Trafficking,V,31,0,1,0
15757,High School,45-54,M,White,Immigration,VI,65,1,0,0
15758,Less than HS,45-54,F,Black,Robbery,IV,54,0,0,0
15759,Less than HS,≤34,M,Hispanic,Immigration,IV,56,0,1,0
15760,Some College,55+,M,Black,Fraud,II,23,0,0,0
15761,Undergraduate Degree,35-44,M,White,Tax,I,59,0,0,0
15762,High School,55+,F,Hispanic,Fraud,III,90,0,0,0
15763,High School,≤34,M,Black,Firearms,I,77,0,1,0
15764,Graduate Degree,35-44,M,Black,Drug Trafficking,I,33,0,1,0
15765,High School,35-44,F,Black,Fraud,IV,75,0,1,0
15766,High School,35-44,M,Black,Fraud,I,84,0,1,0
15767,High School,45-54,M,Black,Fraud,III,81,0,1,0
15768,Less than HS,55+,M,White,Fraud,I,65,0,1,0
15769,Less than HS,≤34,M,Hispanic,Drug Trafficking,IV,69,0,1,0
15770,Undergraduate Degree,35-44,M,White,Tax,I,35,0,0,1
15771,High School,35-44,M,Other,Drug Trafficking,II,63,1,0,0
15772,High School,55+,M,White,Firearms,II,73,0,0,0
15773,Less than HS,≤34,F,Hispanic,Immigration,VI,59,0,0,0
15774,High School,55+,F,Hispanic,Firearms,II,52,0,1,0
15775,High School,55+,M,Black,Firearms,V,55,0,0,0
15776,Some College,45-54,F,Black,Drug Trafficking,IV,71,0,1,0
15777,Less than HS,≤34,M,Hispanic,Robbery,I,66,1,0,0
15778,Less than HS,≤34,M,Hispanic,Drug Trafficking,I,37,1,1,0
15779,High School,≤34,F,Hispanic,Fraud,I,39,0,1,0
15780,High School,≤34,M,Black,Immigration,V,66,0,1,0
15781,Less than HS,35-44,M,Black,Robbery,III,75,0,0,0
15782,High School,45-54,M,Black,Firearms,II,54,0,0,0
15783,Some College,45-54,M,Hispanic,Fraud,I,44,0,0,0
15784,Undergraduate Degree,55+,M,White,Money Laundering,VI,33,0,1,1
15785,Undergraduate Degree,35-44,M,Black,Money Laundering,I,71,0,0,0
15786,Some College,45-54,M,White,Fraud,I,76,0,0,0
15787,High School,55+,M,Black,Firearms,II,78,0,1,0
15788,Undergraduate Degree,45-54,F,White,Child Pornography,II,42,0,1,0
15789,High School,≤34,M,Black,Immigration,V,60,0,1,0
15790,High School,55+,M,Hispanic,Drug Trafficking,I,78,0,1,0
15791,Undergraduate Degree,45-54,M,Hispanic,Drug Trafficking,I,53,1,0,0
15792,Less than HS,≤34,F,Other,Firearms,I,62,0,1,0
15793,Less than HS,≤34,F,Hispanic,Fraud,I,48,0,1,0
15794,High School,35-44,F,Hispanic,Fraud,I,66,0,0,0
15795,Some College,≤34,F,Hispanic,Child Pornography,II,54,0,0,0
15796,Some College,35-44,F,Other,Firearms,I,3,0,0,0
15797,Less than HS,≤34,M,White,Drug Trafficking,VI,57,0,1,0
15798,Less than HS,≤34,M,Hispanic,Robbery,I,65,0,0,0
15799,Undergraduate Degree,45-54,M,Other,Fraud,I,36,0,1,0
15800,High School,45-54,M,Other,Drug Trafficking,V,67,0,0,0
15801,High School,55+,M,Other,Drug Trafficking,I,73,0,1,0
15802,High School,≤34,F,White,Fraud,I,55,0,1,0
15803,Less than HS,35-44,M,Hispanic,Immigration,III,42,1,1,0
15804,High School,55+,M,Other,Fraud,II,86,0,1,0
15805,High School,35-44,M,Hispanic,Firearms,III,80,0,1,0
15806,Undergraduate Degree,45-54,F,Black,Tax,I,25,0,1,0
15807,High School,45-54,M,Other,Fraud,V,55,0,1,0
15808,High School,55+,M,Other,Drug Trafficking,I,66,1,0,0
15809,High School,≤34,M,Other,Fraud,I,68,0,1,0
15810,Less than HS,≤34,M,Hispanic,Fraud,III,65,0,0,0
15811,Less than HS,35-44,M,Hispanic,Robbery,IV,81,0,1,0
15812,High School,35-44,M,Other,Fraud,I,49,0,1,0
15813,High School,45-54,M,Black,Firearms,V,69,0,0,0
15814,High School,35-44,M,Other,Fraud,IV,72,1,0,0
15815,High School,45-54,M,Other,Fraud,VI,81,0,1,0
15816,High School,35-44,F,Other,Immigration,V,72,0,1,0
15817,Less than HS,≤34,M,Hispanic,Firearms,IV,45,0,1,0
15818,Less than HS,35-44,M,Black,Robbery,VI,57,0,1,0
15819,Less than HS,35-44,F,Black,Immigration,IV,48,0,0,0
15820,Some College,55+,M,Black,Firearms,I,52,0,1,0
15821,High School,35-44,M,White,Firearms,VI,56,0,1,0
15822,Less than HS,35-44,M,Black,Drug Trafficking,I,64,0,0,0
15823,Some College,55+,M,Hispanic,Immigration,II,29,0,0,0
15824,High School,≤34,M,White,Drug Trafficking,IV,69,0,1,0
15825,Some College,55+,M,Hispanic,Child Pornography,IV,41,0,1,0
15826,Undergraduate Degree,≤34,M,Black,Child Pornography,I,60,0,0,0
15827,Less than HS,35-44,F,Black,Drug Trafficking,II,56,0,1,0
15828,Less than HS,≤34,M,Black,Fraud,I,68,0,1,0
15829,Less than HS,55+,M,Hispanic,Robbery,I,57,0,1,0
15830,Less than HS,≤34,F,Black,Robbery,I,65,0,1,0
15831,Less than HS,35-44,M,Hispanic,Drug Trafficking,IV,74,0,1,0
15832,High School,35-44,M,Other,Drug Trafficking,VI,69,0,1,0
15833,High School,45-54,M,White,Firearms,I,26,0,0,0
15834,High School,45-54,M,Hispanic,Drug Trafficking,I,88,0,1,0
15835,Less than HS,≤34,M,White,Immigration,VI,75,0,1,0
15836,Less than HS,35-44,M,Black,Robbery,III,46,0,1,0
15837,Undergraduate Degree,35-44,F,Black,Fraud,I,73,0,1,1
15838,High School,≤34,M,Other,Firearms,V,48,0,1,0
15839,Some College,45-54,M,White,Immigration,II,67,0,0,0
15840,High School,45-54,M,White,Drug Trafficking,IV,64,0,0,0
15841,High School,≤34,M,Other,Fraud,VI,63,0,0,0
15842,Less than HS,35-44,M,Black,Immigration,VI,77,0,0,0
15843,High School,55+,M,Black,Fraud,VI,101,0,0,0
15844,High School,45-54,M,White,Drug Trafficking,VI,45,1,1,0
15845,Undergraduate Degree,≤34,M,Other,Tax,I,73,1,1,0
15846,High School,≤34,M,White,Fraud,II,72,0,0,0
15847,Undergraduate Degree,35-44,M,White,Tax,I,68,0,1,0
15848,High School,45-54,M,Black,Firearms,I,57,0,0,0
15849,Graduate Degree,35-44,M,Other,Fraud,I,60,1,1,0
15850,Less than HS,45-54,M,Hispanic,Fraud,VI,36,0,1,0
15851,Undergraduate Degree,≤34,M,Hispanic,Fraud,I,28,0,0,1
15852,Some College,55+,M,Hispanic,Firearms,VI,70,0,1,0
15853,Some College,35-44,M,Other,Firearms,II,76,0,1,0
15854,High School,45-54,M,Hispanic,Fraud,I,87,0,1,0
15855,Less than HS,35-44,M,White,Firearms,V,26,0,1,0
15856,Less than HS,≤34,F,Black,Immigration,IV,65,0,1,0
15857,Less than HS,≤34,M,Other,Immigration,VI,20,0,0,0
15858,Undergraduate Degree,35-44,M,Black,Money Laundering,I,55,0,1,0
15859,High School,55+,M,Black,Fraud,V,82,1,1,0
15860,Some College,45-54,M,White,Fraud,I,44,0,1,0
15861,Less than HS,≤34,M,Hispanic,Fraud,I,66,0,1,0
15862,Less than HS,≤34,F,Hispanic,Firearms,III,52,0,1,0
15863,Undergraduate Degree,55+,M,Hispanic,Tax,I,11,0,0,0
15864,Less than HS,≤34,M,White,Robbery,I,46,0,1,0
15865,Less than HS,35-44,M,Other,Drug Trafficking,I,47,0,0,0
15866,High School,≤34,F,Other,Drug Trafficking,V,92,0,1,0
15867,Less than HS,≤34,M,Black,Firearms,I,43,1,1,0
15868,High School,35-44,M,White,Immigration,VI,77,0,1,0
15869,High School,55+,M,White,Fraud,IV,61,0,1,0
15870,High School,≤34,M,Hispanic,Fraud,III,53,0,1,0
15871,Some College,55+,M,Other,Child Pornography,I,42,0,1,0
15872,High School,55+,M,Other,Immigration,III,58,0,1,0
15873,High School,35-44,M,Other,Immigration,V,93,0,1,0
15874,High School,35-44,M,Other,Fraud,II,72,0,0,0
15875,Less than HS,≤34,M,Black,Fraud,I,59,0,1,0
15876,Less than HS,35-44,M,Hispanic,Firearms,II,73,0,1,0
15877,High School,35-44,M,Black,Drug Trafficking,V,74,0,1,0
15878,High School,35-44,M,Hispanic,Firearms,II,84,0,1,0
15879,Some College,≤34,M,Black,Fraud,IV,67,0,1,0
15880,High School,≤34,M,White,Fraud,V,69,0,1,0
15881,Some College,45-54,M,Black,Firearms,II,77,0,0,0
15882,Less than HS,≤34,M,White,Drug Trafficking,IV,41,0,0,0
15883,Some College,35-44,M,Black,Child Pornography,I,79,0,1,0
15884,Some College,≤34,M,Hispanic,Child Pornography,I,31,0,0,0
15885,Some College,55+,M,Other,Child Pornography,I,51,0,1,0
15886,Less than HS,35-44,M,Black,Firearms,V,56,0,0,0
15887,Some College,≤34,M,White,Firearms,VI,54,1,1,0
15888,Less than HS,≤34,M,Hispanic,Fraud,I,50,0,1,0
15889,High School,45-54,M,Other,Firearms,V,83,0,0,0
15890,High School,≤34,M,White,Fraud,I,72,0,0,0
15891,Less than HS,55+,M,Black,Firearms,III,46,0,0,0
15892,Less than HS,35-44,M,Black,Robbery,II,28,0,1,0
15893,High School,35-44,M,Hispanic,Fraud,I,80,0,0,1
15894,Less than HS,35-44,M,Hispanic,Robbery,I,20,0,1,0
15895,High School,45-54,F,Hispanic,Immigration,VI,57,0,1,0
15896,Some College,55+,F,Hispanic,Firearms,VI,61,0,1,0
15897,High School,55+,M,White,Fraud,VI,69,1,0,0
15898,High School,55+,M,Black,Drug Trafficking,III,75,1,0,1
15899,Some College,35-44,M,White,Child Pornography,I,51,0,1,0
15900,High School,≤34,M,White,Immigration,II,83,0,0,0
15901,Some College,35-44,M,Other,Child Pornography,III,49,0,0,0
15902,Less than HS,≤34,M,Black,Immigration,IV,37,0,1,0
15903,High School,45-54,F,Black,Firearms,I,74,1,1,0
15904,High School,≤34,M,Hispanic,Drug Trafficking,I,82,0,0,0
15905,Less than HS,45-54,M,Hispanic,Drug Trafficking,III,60,0,1,0
15906,Some College,35-44,M,Other,Immigration,III,55,0,1,0
15907,High School,35-44,M,Other,Immigration,VI,80,0,1,0
15908,High School,55+,M,White,Drug Trafficking,II,75,0,0,0
15909,Undergraduate Degree,≤34,M,Black,Drug Trafficking,IV,61,0,1,0
15910,High School,≤34,M,Black,Immigration,I,59,1,1,0
15911,Less than HS,≤34,M,Hispanic,Robbery,II,36,0,1,0
15912,High School,45-54,M,Other,Drug Trafficking,III,42,0,1,0
15913,High School,45-54,M,Hispanic,Firearms,II,53,0,0,0
15914,Undergraduate Degree,45-54,M,Other,Fraud,I,40,0,0,0
15915,Less than HS,55+,M,Hispanic,Firearms,III,23,0,0,0
15916,Some College,55+,M,Hispanic,Fraud,II,29,0,0,1
15917,High School,≤34,F,Hispanic,Immigration,I,57,0,0,0
15918,Undergraduate Degree,55+,M,Black,Money Laundering,IV,45,0,1,0
15919,Some College,45-54,M,Hispanic,Child Pornography,I,64,0,1,0
15920,High School,55+,M,Other,Immigration,III,60,0,1,0
15921,Less than HS,45-54,M,Hispanic,Firearms,IV,55,1,0,0
15922,Undergraduate Degree,35-44,M,Other,Fraud,I,47,0,0,0
15923,Less than HS,≤34,F,Hispanic,Drug Trafficking,IV,57,0,1,0
15924,High School,45-54,M,Black,Drug Trafficking,I,70,0,1,0
15925,High School,≤34,M,Black,Firearms,IV,49,1,1,0
15926,Undergraduate Degree,35-44,M,White,Money Laundering,II,56,0,0,0
15927,High School,45-54,M,Hispanic,Firearms,VI,47,0,0,0
15928,High School,55+,F,White,Immigration,II,75,0,1,0
15929,High School,≤34,F,Black,Drug Trafficking,I,74,0,1,0
15930,High School,45-54,M,Black,Fraud,V,61,0,1,0
15931,High School,≤34,M,Black,Drug Trafficking,I,85,0,1,0
15932,High School,35-44,M,White,Fraud,V,71,0,1,0
15933,High School,55+,M,Other,Fraud,IV,48,0,0,0
15934,High School,≤34,M,Other,Firearms,I,87,0,0,0
15935,High School,55+,M,Black,Fraud,I,45,0,1,0
15936,High School,45-54,M,Hispanic,Immigration,VI,56,0,1,0
15937,High School,55+,M,Black,Firearms,II,72,0,0,0
15938,High School,≤34,M,Hispanic,Drug Trafficking,I,83,0,1,0
15939,Less than HS,≤34,M,Hispanic,Fraud,I,21,0,1,0
15940,High School,≤34,M,Black,Firearms,II,64,0,1,0
15941,High School,55+,F,Hispanic,Drug Trafficking,V,43,0,1,0
15942,Undergraduate Degree,45-54,M,Hispanic,Money Laundering,I,55,0,1,0
15943,Less than HS,≤34,M,Black,Firearms,III,77,0,0,0
15944,Less than HS,≤34,M,Black,Firearms,I,62,0,0,0
15945,High School,45-54,M,Black,Firearms,I,69,0,1,0
15946,Less than HS,≤34,M,White,Robbery,II,64,0,1,0
15947,High School,55+,M,White,Drug Trafficking,II,67,0,0,0
15948,High School,35-44,M,Hispanic,Drug Trafficking,VI,73,0,1,0
15949,Less than HS,≤34,F,Black,Robbery,II,41,0,0,0
15950,Some College,45-54,M,Other,Fraud,I,71,0,1,0
15951,Less than HS,≤34,M,Hispanic,Robbery,I,49,0,1,0
15952,Some College,55+,M,White,Firearms,I,52,0,1,0
15953,Undergraduate Degree,55+,F,Other,Drug Trafficking,I,62,0,0,1
15954,Undergraduate Degree,45-54,M,Black,Tax,I,55,0,1,0
15955,Less than HS,≤34,M,Hispanic,Immigration,I,60,0,1,0
15956,High School,≤34,F,Black,Immigration,I,48,0,1,0
15957,Some College,45-54,M,White,Child Pornography,III,86,0,1,0
15958,Some College,55+,F,Hispanic,Drug Trafficking,VI,51,0,0,0
15959,Some College,35-44,F,Hispanic,Child Pornography,III,75,0,1,0
15960,High School,55+,M,Hispanic,Firearms,V,45,0,1,0
15961,Some College,35-44,M,Black,Child Pornography,III,39,0,0,0
15962,Less than HS,45-54,M,Black,Drug Trafficking,II,61,0,0,0
15963,Less than HS,≤34,M,Hispanic,Immigration,VI,27,0,1,0
15964,Less than HS,45-54,F,Black,Robbery,III,28,0,0,0
15965,High School,35-44,F,Other,Firearms,V,84,0,0,0
15966,High School,35-44,M,Other,Fraud,I,39,0,1,0
15967,Some College,55+,F,Hispanic,Child Pornography,I,38,0,1,0
15968,Some College,35-44,M,Hispanic,Immigration,I,72,0,1,0
15969,Undergraduate Degree,35-44,F,White,Money Laundering,I,52,0,1,0
15970,High School,≤34,M,Other,Fraud,I,56,0,0,0
15971,Less than HS,≤34,M,White,Immigration,I,31,1,0,0
15972,High School,35-44,M,White,Fraud,III,86,0,0,0
15973,Less than HS,≤34,F,Black,Fraud,IV,32,0,0,0
15974,Undergraduate Degree,≤34,M,Other,Child Pornography,II,41,0,1,0
15975,High School,45-54,F,Black,Immigration,V,69,0,0,0
15976,Less than HS,≤34,M,White,Drug Trafficking,I,48,0,1,0
15977,Some College,≤34,M,White,Drug Trafficking,II,48,0,0,0
15978,Undergraduate Degree,≤34,F,Hispanic,Drug Trafficking,I,40,0,0,0
15979,Less than HS,≤34,M,Hispanic,Robbery,IV,50,0,1,0
15980,Some College,35-44,F,Black,Drug Trafficking,I,53,0,0,0
15981,High School,35-44,M,Other,Firearms,III,53,1,0,0
15982,High School,55+,M,White,Fraud,IV,65,0,0,0
15983,Undergraduate Degree,35-44,F,White,Money Laundering,I,69,0,1,1
15984,Undergraduate Degree,45-54,M,Black,Fraud,I,47,0,0,0
15985,Less than HS,≤34,F,Black,Robbery,II,15,0,1,0
15986,High School,55+,M,White,Immigration,I,54,0,1,0
15987,High School,55+,M,Other,Drug Trafficking,I,57,0,1,0
15988,High School,45-54,M,Hispanic,Drug Trafficking,I,61,0,0,0
15989,Less than HS,≤34,M,White,Fraud,VI,66,0,0,0
15990,High School,45-54,M,Other,Fraud,VI,54,0,1,0
15991,High School,≤34,F,Black,Immigration,I,64,0,1,0
15992,High School,35-44,M,Black,Firearms,I,90,0,1,0
15993,High School,≤34,M,Hispanic,Firearms,I,83,0,0,0
15994,Less than HS,35-44,M,Hispanic,Drug Trafficking,VI,55,0,1,0
15995,High School,35-44,M,Black,Immigration,IV,46,0,0,0
15996,Some College,35-44,F,Hispanic,Immigration,III,88,0,1,0
15997,High School,55+,M,Hispanic,Drug Trafficking,II,96,0,0,0
15998,Some College,55+,M,White,Drug Trafficking,I,54,0,0,0
15999,Less than HS,≤34,M,Black,Firearms,II,65,0,1,0
16000,High School,≤34,F,Hispanic,Firearms,III,65,0,1,0
16001,Less than HS,≤34,F,Black,Firearms,VI,104,0,0,0
16002,High School,≤34,M,Other,Fraud,I,81,0,0,0
16003,Undergraduate Degree,≤34,F,Hispanic,Fraud,II,50,0,1,1
16004,Less than HS,35-44,M,Hispanic,Drug Trafficking,I,26,0,1,0
16005,Some College,35-44,M,Black,Child Pornography,I,71,1,1,0
16006,High School,35-44,F,Black,Fraud,I,62,0,1,0
16007,Some College,35-44,M,Hispanic,Firearms,I,70,0,1,0
16008,Less than HS,≤34,F,Black,Drug Trafficking,I,60,0,0,0
16009,Undergraduate Degree,≤34,F,Other,Money Laundering,I,41,0,0,0
16010,Undergraduate Degree,35-44,M,Other,Tax,I,57,0,0,0
16011,Some College,45-54,F,Other,Drug Trafficking,V,44,0,1,0
16012,Less than HS,≤34,M,Black,Drug Trafficking,VI,47,0,1,0
16013,Some College,≤34,M,Other,Immigration,II,41,0,1,0
16014,Graduate Degree,55+,F,White,Money Laundering,I,34,0,0,0
16015,High School,45-54,M,White,Drug Trafficking,VI,78,0,1,0
16016,High School,35-44,F,Other,Immigration,V,67,1,1,0
16017,High School,≤34,M,Black,Fraud,I,66,0,1,0
16018,High School,45-54,M,Black,Fraud,IV,81,1,1,0
16019,Undergraduate Degree,≤34,M,Black,Child Pornography,I,36,0,1,0
16020,Less than HS,55+,M,White,Immigration,VI,65,0,0,0
16021,Undergraduate Degree,35-44,M,Other,Money Laundering,I,51,0,0,0
16022,High School,45-54,M,Other,Firearms,I,64,0,0,0
16023,High School,45-54,M,Other,Fraud,III,66,0,0,0
16024,High School,35-44,F,Other,Immigration,III,70,0,0,0
16025,Less than HS,35-44,M,Hispanic,Robbery,V,54,0,0,0
16026,Less than HS,45-54,M,Hispanic,Firearms,VI,56,0,0,0
16027,High School,55+,M,Other,Immigration,I,83,0,1,0
